year,trades,net_points,net_dollars,gross_points,gross_dollars,profit_factor,win_rate,avg_net_points,max_drawdown_points,max_drawdown_dollars,sharpe_per_trade
2010,5372,-8070.75,-161415.0,-12.75,-255.0,0.014740889946896173,0.027736411020104244,-1.5023734177215189,8069.5,161390.0,-132.21456669001017
2011,10251,-15679.25,-313585.0,-302.75,-6055.0,0.028742663342263795,0.044190810652619254,-1.5295337040288752,15677.5,313550.0,-141.5639553162179
2012,9823,-14640.75,-292815.0,93.75,1875.0,0.01804188534348329,0.029217143438867964,-1.490456072482948,14638.25,292765.0,-172.4542761050625
2013,9709,-14692.5,-293850.0,-129.0,-2580.0,0.012219103484209288,0.024204346482644967,-1.513286641260686,14691.75,293835.0,-181.182399946896
2014,8577,-12935.5,-258710.0,-70.0,-1400.0,0.05357502149219879,0.06727293925615017,-1.5081613617815086,12933.0,258660.0,-108.05182294707159
2015,9070,-13704.25,-274085.0,-99.25,-1985.0,0.09192260544014842,0.09790518191841235,-1.5109426681367144,13705.25,274105.0,-83.47165843068227
2016,10052,-14968.25,-299365.0,109.75,2195.0,0.08469264519285158,0.08923597294070831,-1.4890817747711897,14965.75,299315.0,-86.90132779299124
2017,7703,-11729.75,-234595.0,-175.25,-3505.0,0.06795788637266587,0.07230948980916527,-1.5227508762819681,11729.75,234595.0,-84.44772865339324
2018,9375,-14845.0,-296900.0,-782.5,-15650.0,0.26836781212651395,0.20778666666666668,-1.5834666666666666,14868.5,297370.0,-40.807008074973275
2019,8041,-12068.5,-241370.0,-7.0,-140.0,0.2007615894039735,0.18343489615719438,-1.5008705384902374,12068.0,241360.0,-46.57896345288335
2020,8751,-14102.5,-282050.0,-976.0,-19520.0,0.5488246726759392,0.3672723117358016,-1.6115301108444748,14101.5,282030.0,-17.928854802022308
2021,7967,-11877.25,-237545.0,73.25,1465.0,0.5245201064873196,0.3559683695242877,-1.4908058240240993,11884.0,237680.0,-18.830730198455722
2022,12540,-19062.25,-381245.0,-252.25,-5045.0,0.5900348945367737,0.38692185007974483,-1.520115629984051,19066.0,381320.0,-17.965667890240617
2023,10936,-15376.0,-307520.0,1028.0,20560.0,0.4341806272366811,0.3002011704462326,-1.4059985369422092,15405.25,308105.0,-28.746438152084643
2024,10458,-17363.5,-347270.0,-1676.5,-33530.0,0.5070583475872446,0.33553260661694395,-1.6603078982597055,17429.5,348590.0,-21.780083622145504
2025,10958,-16957.25,-339145.0,-520.25,-10405.0,0.6400250494886613,0.3886658149297317,-1.5474767293301697,16973.25,339465.0,-13.447429142746767
2026,4267,-6096.75,-121935.0,303.75,6075.0,0.6767107670281306,0.4178579798453246,-1.4288141551441293,6145.25,122905.0,-8.713671252289013
